index,time,tau_J0,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J_d0,tau_J_d1,tau_J_d2,tau_J_d3,tau_J_d4,tau_J_d5,tau_J_d6,tau_ext0,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,q0,q1,q2,q3,q4,q5,q6,q_d0,q_d1,q_d2,q_d3,q_d4,q_d5,q_d6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq_d0,dq_d1,dq_d2,dq_d3,dq_d4,dq_d5,dq_d6,e0,e1,e2,e3,e4,e5,e6,de0,de1,de2,de3,de4,de5,de6,etau_J0,etau_J1,etau_J2,etau_J3,etau_J4,etau_J5,etau_J6,label
1,0.0,-0.24825400114059448,-19.792627334594727,-0.2998931109905243,19.955781936645508,0.5047507882118225,2.4758944511413574,-0.28232139348983765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2241135111197666,-0.07651883827616432,-0.0921585791765512,0.16277757496821793,-0.06997242603325445,0.09537193971359971,-0.243505056047111,1.2133866716308157,-0.22037355184973328,-0.0076456640956590344,-2.6037895029636853,-0.10886326722303291,2.4681828379109767,0.8264784182752064,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,0.0008657593481999398,-0.0006887963054851836,0.000652822136658111,-0.000502893973454284,0.0003379206737453732,-0.00020524917383123425,0.0015671655489412266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.472213794166514e-05,0.00013032026047479772,0.00013383550083981288,-5.8879236102260535e-05,-2.0659863956162816e-05,-7.121306593305121e-07,-3.5100239673679923e-06,-0.0008657593481999398,0.0006887963054851836,-0.000652822136658111,0.000502893973454284,-0.0003379206737453732,0.00020524917383123425,-0.0015671655489412266,0.24825400114059448,19.792627334594727,0.2998931109905243,-19.955781936645508,-0.5047507882118225,-2.4758944511413574,0.28232139348983765,0
2,0.004998683929443359,-0.24825400114059448,-19.792627334594727,-0.2998931109905243,19.955781936645508,0.5047507882118225,2.4758944511413574,-0.28232139348983765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2241135111197666,-0.07651883827616432,-0.0921585791765512,0.16277757496821793,-0.06997242603325445,0.09537193971359971,-0.243505056047111,1.2133866716308157,-0.22037355184973328,-0.0076456640956590344,-2.6037895029636853,-0.10886326722303291,2.4681828379109767,0.8264784182752064,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,0.0008657593481999398,-0.0006887963054851836,0.000652822136658111,-0.000502893973454284,0.0003379206737453732,-0.00020524917383123425,0.0015671655489412266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.472213794166514e-05,0.00013032026047479772,0.00013383550083981288,-5.8879236102260535e-05,-2.0659863956162816e-05,-7.121306593305121e-07,-3.5100239673679923e-06,-0.0008657593481999398,0.0006887963054851836,-0.000652822136658111,0.000502893973454284,-0.0003379206737453732,0.00020524917383123425,-0.0015671655489412266,0.24825400114059448,19.792627334594727,0.2998931109905243,-19.955781936645508,-0.5047507882118225,-2.4758944511413574,0.28232139348983765,0
3,0.00999307632446289,-0.17287558317184448,-19.844202041625977,-0.2721221148967743,19.955781936645508,0.5102439522743225,2.4630770683288574,-0.26858848333358765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22600219963942972,-0.08215501060036434,-0.09347751530844536,0.16838151071496996,-0.06955682773009682,0.09644160178661965,-0.2432426894061893,1.213381381602482,-0.2203699325720469,-0.00764761261276169,-2.6037895029636853,-0.10886387757460277,2.4681846283054485,0.8264768872130115,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,-0.0014600983972635775,0.00023324749696013996,-0.0005623294549669229,-7.27519753774875e-05,0.000338707256384992,0.00036894237064188386,0.0010045646807839092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.001216627526951e-05,0.00012670098278841357,0.0001357840179424686,-5.8879236102260535e-05,-2.0049512386308144e-05,-2.502525131120592e-06,-1.9789617724530473e-06,0.0014600983972635775,-0.00023324749696013996,0.0005623294549669229,7.27519753774875e-05,-0.000338707256384992,-0.00036894237064188386,-0.0010045646807839092,0.17287558317184448,19.844202041625977,0.2721221148967743,-19.955781936645508,-0.5102439522743225,-2.4630770683288574,0.26858848333358765,0
4,0.014991998672485352,-0.17287558317184448,-19.844202041625977,-0.2721221148967743,19.955781936645508,0.5102439522743225,2.4630770683288574,-0.26858848333358765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22600219963942972,-0.08215501060036434,-0.09347751530844536,0.16838151071496996,-0.06955682773009682,0.09644160178661965,-0.2432426894061893,1.213381381602482,-0.2203699325720469,-0.00764761261276169,-2.6037895029636853,-0.10886387757460277,2.4681846283054485,0.8264768872130115,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,-0.0014600983972635775,0.00023324749696013996,-0.0005623294549669229,-7.27519753774875e-05,0.000338707256384992,0.00036894237064188386,0.0010045646807839092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.001216627526951e-05,0.00012670098278841357,0.0001357840179424686,-5.8879236102260535e-05,-2.0049512386308144e-05,-2.502525131120592e-06,-1.9789617724530473e-06,0.0014600983972635775,-0.00023324749696013996,0.0005623294549669229,7.27519753774875e-05,-0.000338707256384992,-0.00036894237064188386,-0.0010045646807839092,0.17287558317184448,19.844202041625977,0.2721221148967743,-19.955781936645508,-0.5102439522743225,-2.4630770683288574,0.26858848333358765,0
5,0.019991159439086914,-0.19667929410934448,-19.792627334594727,-0.3236968219280243,19.955781936645508,0.5047507882118225,2.4694857597351074,-0.22098104655742645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22695275499428877,-0.07661612069097426,-0.0944927192713071,0.1639488439637675,-0.06859010370111703,0.09616273526422356,-0.2430227156829335,1.2133830523532714,-0.22037355184973328,-0.007646123890683316,-2.6037895029636853,-0.10886326722304027,2.468183549936031,0.8264725389676627,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,-0.0007057718445907928,-0.0007205504309699314,0.0001624186713602837,-0.0003936335450025117,0.000641125596929695,2.4178916695195217e-05,-0.0007435939102518473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.834141548599625e-05,0.00013032026047479772,0.00013429529586409406,-5.8879236102260535e-05,-2.065986394880759e-05,-1.4241557138028327e-06,2.3692835763311493e-06,0.0007057718445907928,0.0007205504309699314,-0.0001624186713602837,0.0003936335450025117,-0.000641125596929695,-2.4178916695195217e-05,0.0007435939102518473,0.19667929410934448,19.792627334594727,0.3236968219280243,-19.955781936645508,-0.5047507882118225,-2.4694857597351074,0.22098104655742645,0
6,0.025019168853759766,-0.19667929410934448,-19.792627334594727,-0.3236968219280243,19.955781936645508,0.5047507882118225,2.4694857597351074,-0.22098104655742645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22695275499428877,-0.07661612069097426,-0.0944927192713071,0.1639488439637675,-0.06859010370111703,0.09616273526422356,-0.2430227156829335,1.2133830523532714,-0.22037355184973328,-0.007646123890683316,-2.6037895029636853,-0.10886326722304027,2.468183549936031,0.8264725389676627,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,-0.0007057718445907928,-0.0007205504309699314,0.0001624186713602837,-0.0003936335450025117,0.000641125596929695,2.4178916695195217e-05,-0.0007435939102518473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.834141548599625e-05,0.00013032026047479772,0.00013429529586409406,-5.8879236102260535e-05,-2.065986394880759e-05,-1.4241557138028327e-06,2.3692835763311493e-06,0.0007057718445907928,0.0007205504309699314,-0.0001624186713602837,0.0003936335450025117,-0.000641125596929695,-2.4178916695195217e-05,0.0007435939102518473,0.19667929410934448,19.792627334594727,0.3236968219280243,-19.955781936645508,-0.5047507882118225,-2.4694857597351074,0.22098104655742645,0
7,0.0299990177154541,-0.19667929410934448,-19.844202041625977,-0.2998931109905243,19.983552932739258,0.5166526436805725,2.4630770683288574,-0.22098104655742645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22115136306648417,-0.0763573918068299,-0.09303886484196609,0.16354431895382082,-0.06812827180973614,0.09645206039241352,-0.24320308821807565,1.2133828227650119,-0.2203699325720469,-0.0076456638791721565,-2.6037914518055163,-0.10886458965142568,2.468184615223496,0.826471444784405,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,-0.0005018456664057661,0.0007602504137989086,9.82574448695851e-05,-0.0012876988307874797,0.000131852485641978,0.0003337852495853033,-0.0007257087446980932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857100374551116e-05,0.00012670098278841357,0.00013383528435293498,-5.693039427123736e-05,-1.9337435563399064e-05,-2.48944317871036e-06,3.4634668339972308e-06,0.0005018456664057661,-0.0007602504137989086,-9.82574448695851e-05,0.0012876988307874797,-0.000131852485641978,-0.0003337852495853033,0.0007257087446980932,0.19667929410934448,19.844202041625977,0.2998931109905243,-19.983552932739258,-0.5166526436805725,-2.4630770683288574,0.22098104655742645,0
8,0.035005807876586914,-0.19667929410934448,-19.844202041625977,-0.2998931109905243,19.983552932739258,0.5166526436805725,2.4630770683288574,-0.22098104655742645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22115136306648417,-0.0763573918068299,-0.09303886484196609,0.16354431895382082,-0.06812827180973614,0.09645206039241352,-0.24320308821807565,1.2133828227650119,-0.2203699325720469,-0.0076456638791721565,-2.6037914518055163,-0.10886458965142568,2.468184615223496,0.826471444784405,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,-0.0005018456664057661,0.0007602504137989086,9.82574448695851e-05,-0.0012876988307874797,0.000131852485641978,0.0003337852495853033,-0.0007257087446980932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857100374551116e-05,0.00012670098278841357,0.00013383528435293498,-5.693039427123736e-05,-1.9337435563399064e-05,-2.48944317871036e-06,3.4634668339972308e-06,0.0005018456664057661,-0.0007602504137989086,-9.82574448695851e-05,0.0012876988307874797,-0.000131852485641978,-0.0003337852495853033,0.0007257087446980932,0.19667929410934448,19.844202041625977,0.2998931109905243,-19.983552932739258,-0.5166526436805725,-2.4630770683288574,0.22098104655742645,0
9,0.039991140365600586,-0.22445029020309448,-19.816431045532227,-0.2998931109905243,19.908174514770508,0.5102439522743225,2.4630770683288574,-0.21457235515117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22270381415586418,-0.07661703143717709,-0.09755587413002657,0.16458186524902124,-0.06830889929417949,0.09696623682134227,-0.24220157104694334,1.2133850008447435,-0.22037188141387803,-0.007645663770928921,-2.603786187601781,-0.10886387806139068,2.4681846195848114,0.8264735541908389,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,7.476288714206303e-05,8.931409371136349e-05,-0.00011682111757211646,0.0007604323226627553,0.00013797267696379067,5.6432485324020234e-05,-0.0009778382994949032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639292401382612e-05,0.00012864982461954777,0.00013383517610969942,-6.219459800638205e-05,-2.004902559839261e-05,-2.4938044940192583e-06,1.3540604001383016e-06,-7.476288714206303e-05,-8.931409371136349e-05,0.00011682111757211646,-0.0007604323226627553,-0.00013797267696379067,-5.6432485324020234e-05,0.0009778382994949032,0.22445029020309448,19.816431045532227,0.2998931109905243,-19.908174514770508,-0.5102439522743225,-2.4630770683288574,0.21457235515117645,0
10,0.044992685317993164,-0.22445029020309448,-19.816431045532227,-0.2998931109905243,19.908174514770508,0.5102439522743225,2.4630770683288574,-0.21457235515117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22270381415586418,-0.07661703143717709,-0.09755587413002657,0.16458186524902124,-0.06830889929417949,0.09696623682134227,-0.24220157104694334,1.2133850008447435,-0.22037188141387803,-0.007645663770928921,-2.603786187601781,-0.10886387806139068,2.4681846195848114,0.8264735541908389,1.2134413937687574,-0.2202432315892585,-0.0075118285948192216,-2.6038483821997875,-0.10888392708698907,2.4681821257803174,0.826474908251239,7.476288714206303e-05,8.931409371136349e-05,-0.00011682111757211646,0.0007604323226627553,0.00013797267696379067,5.6432485324020234e-05,-0.0009778382994949032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.639292401382612e-05,0.00012864982461954777,0.00013383517610969942,-6.219459800638205e-05,-2.004902559839261e-05,-2.4938044940192583e-06,1.3540604001383016e-06,-7.476288714206303e-05,-8.931409371136349e-05,0.00011682111757211646,-0.0007604323226627553,-0.00013797267696379067,-5.6432485324020234e-05,0.0009778382994949032,0.22445029020309448,19.816431045532227,0.2998931109905243,-19.908174514770508,-0.5102439522743225,-2.4630770683288574,0.21457235515117645,0
