time_sec,time_nsec,timestamp,DATA0,DATA1,DATA2,DATA3,DATA4
1001894.0,0.5093093,2876474.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5102768,2876475.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.51129675,2876475.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5123122,2876476.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.51333475,2876477.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5135212,2876478.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5143249,2876479.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5153189,2876479.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.51635385,2876480.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.51735735,2876481.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.517519,2876482.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5183811,2876482.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.519362,2876483.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.520386,2876484.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5214267,2876485.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.52158904,2876486.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.52241015,2876487.0,0.0,0.0,0.0,0.0,1.0
1001894.0,0.5234046,2876487.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5244374,2876488.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5245955,2876489.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.52550673,2876490.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.52648616,2876491.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5275192,2876491.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5285523,2876492.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5287111,2876493.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.52955985,2876494.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.53056693,2876495.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.53155446,2876495.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5325887,2876496.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.53275037,2876497.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.533648,2876498.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.534611,2876499.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5356164,2876499.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5366428,2876500.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.53680444,2876501.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5376229,2876502.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.53866434,2876503.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.53966117,2876503.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54068565,2876504.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5408478,2876505.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54168916,2876506.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54271173,2876507.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5437076,2876508.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54473114,2876508.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54489017,2876509.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5457132,2876510.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54675055,2876511.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5477321,2876512.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5488024,2876512.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.54896045,2876513.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5497949,2876514.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5508263,2876515.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.55184007,2876516.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.55284834,2876516.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5530157,2876517.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.553879,2876518.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.55486965,2876519.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5558722,2876520.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.55693364,2876520.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5571172,2876521.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.55786633,2876522.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5589144,2876523.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5599108,2876524.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5609317,2876525.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.56111693,2876525.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.56201935,2876526.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.56296134,2876527.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5640259,2876528.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5650065,2876529.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5660143,2876530.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5661781,2876530.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5670793,2876531.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5680764,2876532.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5690515,2876533.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.57007146,2876534.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5702312,2876534.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.57109284,2876535.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5721319,2876536.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5731189,2876537.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.57413936,2876538.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5742986,2876538.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.57513785,2876539.0,0.0,0.0,1.0,0.0,1.0
1001894.0,0.5760853,2876540.0,0.0,0.0,1.0,0.0,1.0
